,output_raw_mill,el_cons_raw_mill,raw_mill_on,raw_mill_start,raw_mill_stop,raw_mill_shut_down,raw_mill_shut_down_change,input_kiln,output_kiln,el_cons_kiln,kiln_on,el_cons_cement_mill,cement_mill_on,cement_mill_start,cement_mill_stop,cement_mill_shut_down,cement_mill_shut_down_change,input_cement_mill,output_cement_mill,raw_meal_silo,clinker_dome,el_cons_total,slag,PFC
10,0.0,0.0,-0.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,890.372670807141,1958.1395348837154,12700.0,0.0,500.0
11,150.0,3450.0,1.0,1.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,959.6273291922342,1832.3255813953433,16150.0,0.0,500.0
12,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,0.0,0.0,1.0,1.0,255.8139534883721,220.0,1028.8819875773274,1706.5116279069712,16150.0,0.0,500.0
13,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,-0.0,0.0,1.0,1.0,255.8139534883721,220.0,1098.1366459624205,1580.697674418599,16150.0,0.0,20.0
14,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,-0.0,0.0,1.0,1.0,255.8139534883721,220.0,1167.3913043475138,1454.883720930227,16150.0,0.0,20.0
15,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,-0.0,0.0,1.0,1.0,255.8139534883721,220.0,1236.645962732607,1329.0697674418548,16150.0,0.0,20.0
16,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,-0.0,0.0,1.0,1.0,255.8139534883721,220.0,1305.9006211177002,1203.2558139534826,16150.0,0.0,0.0
17,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,-0.0,0.0,1.0,1.0,255.8139534883721,220.0,1375.1552795027933,1077.4418604651105,16150.0,0.0,0.0
18,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,-0.0,0.0,1.0,1.0,255.8139534883721,220.0,1444.4099378878866,951.6279069767384,16150.0,0.0,0.0
19,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,-0.0,0.0,1.0,1.0,255.8139534883721,220.0,1513.6645962729797,825.8139534883669,16150.0,0.0,30.0
20,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,-0.0,0.0,1.0,1.0,255.8139534883721,220.0,1582.919254658073,699.9999999999948,16150.0,0.0,20.0
21,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,-0.0,0.0,1.0,1.0,255.8139534883721,220.0,1652.173913043166,574.1860465116227,16150.0,0.0,500.0
22,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,8800.0,1.0,-0.0,0.0,1.0,1.0,255.8139534883721,220.0,1721.4285714282594,448.3720930232506,16150.0,0.0,500.0
23,150.0,3450.0,1.0,0.0,0.0,1.0,1.0,80.74534161490682,130.0,3900.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1790.6832298133525,578.3720930232506,16150.0,0.0,20.0
